Recipe,Est. Servings,Recipe Total,Cost/Serving,Ingredient,Quantity,Ingredient Cost,Link
,,,,Curry powder,4 cups (~1.4 lb),$13.42,https://www.chefstore.com/p/monarch-curry-powder_2693684/
,,,,Cumin,1 cup (~0.35 lb),$2.97,https://www.chefstore.com/p/monarch-ground-cumin_8602175/
,,,,Tamari,1 cup,$1.67,https://www.chefstore.com/p/kikkoman-gluten-free-tamari-soy-sauce_9841289/
,,,,White pepper,4 TBSP,$1.34,https://www.chefstore.com/p/monarch-ground-white-pepper_8820572/

Tofu Sandwich Spread,100,$118.33,$1.18,Miso paste*,3 cups (~1.65 lb),$3.96,not available at CHEF'STORE SF
,,,,Tahini,8 cups (~4.4 lb),$28.44,https://www.chefstore.com/p/acme-festival-organic-tahini_2837996/
,,,,Tofu,25 lb,$66.86,https://www.chefstore.com/p/house-foods-america-bulk-firm-tofu_1613553/
,,,,Lemons,25 each,$7.50,https://www.chefstore.com/p/lemons-115-count_7265754/
,,,,Garlic powder,1/2 cup (~0.5 lb),$5.26,https://www.chefstore.com/p/monarch-garlic-powder_2886065/
,,,,Onions,8 cups diced (~2.8 lb),$0.61,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Celery,8 cups diced (~2.8 lb),$5.70,https://www.chefstore.com/p/celery-sticks-25-lb_1157041/

Macaroni and Cheeseless,100,$153.00,$1.53,Salt (pasta),5 TBSP,$0.06,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Elbow macaroni,20 lb,$14.79,https://www.chefstore.com/p/harvest-value-elbow-macaroni-pasta_0993063/
,,,,Nutritional yeast*,36 cups (~12.6 lb),$122.47,https://www.webstaurantstore.com/bobs-red-mill-25-lb-large-flake-nutritional-yeast/1041594B25.html
,,,,Flour,12 cups (~4.2 lb),$1.85,https://www.chefstore.com/p/morbread-unbleached-flour_4022570/
,,,,Garlic powder,1/2 cup (~0.5 lb),$5.26,https://www.chefstore.com/p/monarch-garlic-powder_2886065/
,,,,Salt (sauce),1/2 cup,$0.10,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Margarine,6 lb,$8.00,https://www.chefstore.com/p/glenview-farms-margarine-prints_4307499/
,,,,Mustard,1 cup,$0.47,https://www.chefstore.com/p/frenchs-yellow-mustard_5736780/

Tofu Spinach Lasagna,80,$208.65,$2.61,Olive oil (sauce),1 cup,$1.64,https://www.chefstore.com/p/tuttorosso-tutto-bene-olive-pomace-oil_1017876/
,,,,Garlic (sauce),1 head,$0.53,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions (sauce),10 chopped (~5 lb),$1.09,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Crushed tomatoes,150 oz,$11.18,https://www.chefstore.com/p/summer-inside-crushed-tomato-in-puree_7298729/
,,,,Oregano,3+2 TBSP,$1.07,https://www.chefstore.com/p/mccormick-oregano-leaves_1011064/
,,,,Basil (dried),2+2 TBSP,$0.36,https://www.chefstore.com/p/monarch-dried-basil_2719487/
,,,,Thyme,2+3 TBSP,$1.05,https://www.chefstore.com/p/mccormick-thyme-leaves_1011046/
,,,,Bay leaves,3 each,$0.12,https://www.chefstore.com/p/monarch-whole-bay-leaves_3249492/
,,,,Salt,2+2 TBSP,$0.05,https://www.chefstore.com/p/diamond-crystal-plain-salt-25-pounds_5378260/
,,,,Black pepper,2 TBSP,$1.09,https://www.chefstore.com/p/monarch-coarse-ground-black-pepper_2900491/
,,,,Vegetable oil (filling),1 cup,$0.42,https://www.chefstore.com/p/harvest-value-clear-vegetable-frying-oil_1328699/
,,,,Garlic (filling),1 head,$0.53,https://www.chefstore.com/p/the-garlic-company-whole-garlic_3739472/
,,,,Onions (filling),10 chopped (~5 lb),$1.09,https://www.chefstore.com/p/jumbo-yellow-onions_0213934/
,,,,Tofu,20 lb,$53.49,https://www.chefstore.com/p/house-foods-america-bulk-firm-tofu_1613553/
,,,,Frozen spinach,12.5 lb,$14.54,https://www.chefstore.com/p/flav-r-pac-chopped-spinach_7018377/
,,,,Tamari,2 cups,$3.35,https://www.chefstore.com/p/kikkoman-gluten-free-tamari-soy-sauce_9841289/
,,,,Lasagna noodles,5 lb,$7.90,https://www.chefstore.com/p/roseli-lasagna_3328127/
,,,,Vegan mozzarella,20 lb,$109.15,https://www.chefstore.com/p/vevan-mozzarella-melts-slices_9192627/
